country,t,onset2COWCS,decade,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned,1,2,6,10,19
ARE,2004,0.0,8.0,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0,0.000461489,0.000461489,0.007655501,0.045482796,-0.00048373,-0.003483346,0.000750649,0.000442223,0.002647179
ARE,2005,0.0,8.0,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0,0.000447012,0.000447009,0.010764346,0.032663204,0.00091665,-0.000514081,0.001064905,0.000496023,0.001287595
ARE,2006,,8.0,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0,0.000429422,0.000429429,-0.031067744,0.045967687,0.00105648,-3.625e-06,0.002012337,0.000391626,0.002678426
ARE,2007,,8.0,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0,0.000409015,0.000409007,0.013120458,0.018345967,-0.000529695,-0.001128213,-0.001484805,-0.000285911,-0.000837449
ARE,2008,,8.0,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0,0.000391401,0.000391401,0.007430449,0.03073255,-0.000215465,-0.000787679,-0.000573524,-0.000409142,5.592e-06
ARG,1991,0.0,7.0,0.0085,0.03346389,0.00255,0.002236,0.000618,0.0,0.0,0.000140667,0.000140671,-0.005542085,0.07150562,-0.004417323,0.003950735,-0.001128316,-0.000522938,-0.002693933
ARG,1992,0.0,7.0,0.0085,0.03346389,0.00255,0.002236,0.000618,0.0,0.0,0.000137247,0.000137245,0.008693755,0.06102376,-0.000665725,0.000892305,-0.000195089,-0.000162806,-0.000449583
ARG,1993,0.0,7.0,0.0085,0.03346389,0.00255,0.002236,0.000618,0.0,0.0,0.000128701,0.000128705,-0.00150393,0.03134275,-0.000657709,-6.8851e-05,5.5457e-05,-1.0331e-05,2.0342e-05
ARG,1994,0.0,7.0,0.0085,0.03346389,0.00255,0.002236,0.000618,0.0,0.0,0.00012707,0.000127072,0.00292021,0.05619428,0.000877091,-0.000481911,0.000277118,5.2404e-05,0.000552183
ARG,1995,0.0,7.0,0.0085,0.03346389,0.00255,0.002236,0.000618,0.0,0.0,0.000121795,0.000121791,-0.006439269,-0.055861354,0.003654057,-0.001426302,0.001077948,0.000322332,0.002179465
ARG,1996,0.0,7.0,0.0085,0.03346389,0.00255,0.002236,0.000618,0.0,0.0,0.000115283,0.000115283,0.001482815,0.018904611,0.000638648,3.4137e-05,0.000173675,-5.5381e-05,0.000269036
ARG,1997,0.0,7.0,0.0085,0.03346389,0.00255,0.002236,0.000618,0.0,0.0,0.000116736,0.000116738,-0.004356921,0.05433813,-8.949e-06,0.00053559,0.000137317,0.002164821,-6.3961e-05
ARG,1998,0.0,7.0,0.0085,0.03346389,0.00255,0.002236,0.000618,0.0,0.0,0.000114575,0.000114571,0.008288056,0.023919672,-0.000865922,0.001073045,-0.000238237,0.000453359,-0.000624163
ARG,1999,0.0,7.0,0.009,0.03346389,0.00255,0.002236,0.000618,0.0,0.0,0.000110291,0.000110293,0.002353162,-0.057726856,0.00061683,8.4913e-05,0.000190913,0.000669428,0.000115403
ARG,2000,0.0,8.0,0.009,0.03346389,0.00255,0.002236,0.000618,0.0,0.0,0.000111237,0.000111233,-0.01221785,-0.032101396,0.002000465,-0.002143843,0.000725525,0.000251541,0.001573119
ARG,2001,0.0,8.0,0.009,0.03346389,0.00255,0.002236,0.000618,0.0,0.0,9.54e-05,9.54e-05,-0.001362011,-0.066305354,0.00215948,0.000764142,0.000481805,0.001364089,0.00097344
ARG,2002,0.0,8.0,0.009,0.03346389,0.00255,0.002236,0.000618,0.0,0.0,8.06e-05,8.06e-05,0.006218895,-0.12922063,0.028083954,-0.001276714,0.006343219,0.003371966,0.016507183
ARG,2003,0.0,8.0,0.009,0.03346389,0.00255,0.002236,0.000618,0.0,0.0,8.83e-05,8.83e-05,0.00173071,0.06530545,-0.003560927,-0.026395453,0.000169019,-0.000656747,-0.000251967
ARG,2004,0.0,8.0,0.009,0.03346389,0.00255,0.002236,0.000618,0.0,0.0,0.000105351,0.000105349,0.005054817,0.06544731,0.003570086,-0.013211397,0.000923654,1.332e-05,0.003030773
ARG,2005,0.0,8.0,0.009,0.03346389,0.00255,0.002236,0.000618,0.0,0.0,0.000112675,0.000112675,0.00948821,0.06663474,-0.001779196,-1.858e-05,-0.00027436,-0.000424269,-0.000419073
ARG,2006,,8.0,0.009,0.03346389,0.00255,0.002236,0.000618,0.0,,0.000109904,0.000109907,-0.020339489,0.060009304,0.00427088,-0.001970466,0.000988518,0.000991033,0.003204482
ARG,2007,,8.0,0.009,0.03346389,0.00255,0.002236,0.000618,0.0,,0.000109218,0.000109211,0.00497058,0.062064994,0.001104064,0.001522914,0.000101579,-0.000227374,0.000855556
