,onset2COWCS,d2incidenceU,d3_6incidenceU,onsetUCS,coup,periregular,milexp_pergdpSIPRI,code3,year,decade,ecgrowth,logpop_M,logpopdens,logoutreg,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,milexp_pergdpSIPRI_diff,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned
28,0.0,,,0.0,0.0,0.14285715,,AFG,1957.0,3.0,-0.01936978,0.09131398,0.026582794,0.13471779,0.0,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.00019560009,0.00019559823,0.10222209,-0.026824363
29,0.0,,,0.0,0.0,0.14285715,,AFG,1958.0,3.0,0.03519145,0.09151498,0.026783794,0.10586844,0.0,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.00020100176,0.0002009999,-0.028849356,0.027736865
30,0.0,,,0.0,0.0,0.25,,AFG,1959.0,3.0,0.007636053,0.09172078,0.026989594,0.120807454,0.0,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.00020579994,0.00020579994,0.014939018,0.00018146867
31,0.0,,,0.0,0.0,0.4,,AFG,1960.0,4.0,0.0143296365,0.09193138,0.027200196,0.1508294,0.0,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.00021059811,0.00021060184,0.03002195,0.006875052
32,0.0,,,0.0,0.0,0.4,,AFG,1961.0,4.0,-0.012826196,0.092146784,0.027415594,0.14237662,0.0,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.00021540374,0.00021539815,-0.008452788,-0.02028078
33,0.0,,,0.0,0.0,0.4,,AFG,1962.0,4.0,-0.0049664183,0.092366986,0.027635794,0.15262735,0.0,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.00022020191,0.00022020005,0.010250732,-0.012421003
34,0.0,,,0.0,0.0,0.4,,AFG,1963.0,4.0,-0.0042854766,0.092591986,0.027860794,0.14970137,0.0,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.00022500008,0.00022500008,-0.002925977,-0.0117400605
35,0.0,,,0.0,0.0,0.44444445,,AFG,1964.0,4.0,-0.0037406536,0.09282118,0.028089995,0.15868498,0.0015,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.00022919476,0.00022920035,0.008983612,-0.011195238
36,0.0,,,0.0,0.0,0.44444445,,AFG,1965.0,4.0,-0.0012367413,0.093054585,0.028323393,0.15849435,0.0015,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.00023340434,0.00023339875,-0.00019063056,-0.008691326
37,0.0,,,0.0,0.0,0.5,,AFG,1966.0,4.0,-0.013732028,0.093292184,0.028560994,0.15997964,0.0015,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.00023759902,0.00023760088,0.0014852881,-0.021186613
38,0.0,,,0.0,0.0,0.5555556,,AFG,1967.0,4.0,0.0030986646,0.093533985,0.028802795,0.14375079,0.0015,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.00024180114,0.00024180114,-0.016228855,-0.0043559195
39,0.0,,,0.0,0.0,0.71428573,,AFG,1968.0,4.0,0.010622824,0.09377998,0.029048795,0.13916022,0.0015,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.00024599582,0.00024599954,-0.004590571,0.0031682393
40,0.0,,,0.0,0.0,0.71428573,,AFG,1969.0,4.0,-0.008826548,0.09402838,0.029297195,0.15654281,0.0015,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.00024840236,0.0002484005,0.017382592,-0.016281132
41,0.0,,,0.0,0.0,0.71428573,,AFG,1970.0,5.0,-0.0051394235,0.094279185,0.029547995,0.15741348,0.0015,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.00025080144,0.00025079958,0.00087067485,-0.012594008
42,0.0,,,0.0,0.0,0.71428573,,AFG,1971.0,5.0,-0.07154643,0.094532385,0.029801195,0.14825691,0.0015,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.00025320053,0.00025320053,-0.00915657,-0.07900101
43,0.0,,,0.0,0.0,0.8333333,,AFG,1972.0,5.0,-0.043575335,0.094787985,0.030056795,0.1579545,0.0015,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.00025559962,0.00025559962,0.009697586,-0.05102992
44,0.0,,,0.0,4.0,0.85714287,,AFG,1973.0,5.0,0.085820414,0.095045984,0.030314796,0.14983547,0.0015,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.0002579987,0.00025800057,-0.008119032,0.07836583
45,0.0,,,0.0,0.0,0.8333333,,AFG,1974.0,5.0,0.027496971,0.09530398,0.030572796,0.15605654,0.0015,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.0002579987,0.00025800057,0.006221071,0.020042386
46,0.0,,,0.0,0.0,0.8333333,,AFG,1975.0,5.0,0.025269961,0.09556198,0.030830795,0.14609657,0.0015,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.0002579987,0.0002579987,-0.009959966,0.017815378
47,0.0,,,0.0,0.0,0.8333333,,AFG,1976.0,5.0,0.023333061,0.09581998,0.031088796,0.16203235,0.0015,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.0002579987,0.00025800057,0.015935779,0.015878476
48,0.0,,,0.0,0.0,0.85714287,,AFG,1977.0,5.0,-0.09244963,0.096077986,0.031346794,0.1542766,0.0015,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.00025800616,0.0002579987,-0.0077557564,-0.09990421
49,1.0,,,1.0,1.0,0.85714287,,AFG,1978.0,5.0,0.05212837,0.096335985,0.031604797,0.1496819,0.005,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.0002579987,0.00025800243,-0.0045946985,0.044673786
50,,,,,3.0,0.8333333,,AFG,1979.0,5.0,-0.021784808,0.096521765,0.03179058,0.15599836,,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.00018578023,0.00018578395,0.006316468,-0.029239394
51,,,,,0.0,0.75,,AFG,1980.0,6.0,0.001677889,0.09623254,0.031501357,0.1759279,,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,-0.0002892241,-0.0002892241,0.019929543,-0.0057766954
52,,,,,0.0,0.75,,AFG,1981.0,6.0,0.10664578,0.095333636,0.030602448,0.14565009,,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,-0.0008989051,-0.0008989088,-0.030277818,0.099191196
