country,t,outp,outpd%,outptt%
BGR,1997,655.9377012,0.23752292,0.399598491
BGR,1998,721.8465301,0.299932357,0.388766723
BGR,1999,753.8105719,0.314031867,0.379326247
BGR,2000,774.1042845,0.321637013,0.375630577
BGR,2001,808.2492839,0.334286065,0.364634255
BGR,2002,898.1811931,0.347982169,0.363179706
BGR,2003,1167.814351,0.352466907,0.356018994
BGR,2004,1506.266525,0.338043365,0.354500761
BGR,2005,1747.048105,0.369786196,0.343107382
BGR,2006,2253.515331,0.307645859,0.352993801
BGR,2007,2897.052563,0.333649886,0.350012394
BGR,2008,3489.531306,0.34400373,0.348015409
BHR,1990,149.8635875,0.571485616,0.288655001
BHR,1991,160.879217,0.557177684,0.295456465
BHR,1992,172.0880663,0.556377205,0.293474161
BHR,1993,187.4629411,0.601579937,0.269140954
BHR,1994,204.747315,0.612312876,0.260235433
BHR,1995,213.576288,0.586874407,0.270583291
BHR,1996,221.5276722,0.576244842,0.275410544
BHR,1997,235.2687418,0.555492109,0.28736138
BHR,1998,234.0112394,0.599491557,0.263725746
BHR,1999,238.2457874,0.587251079,0.271490348
BHR,2000,271.0329525,0.562104179,0.286144396
BHR,2001,265.2167767,0.574336327,0.278273289
BHR,2002,282.5328125,0.570912395,0.280831135
BHR,2003,314.205431,0.559438208,0.289068051
BHR,2004,369.1346681,0.518236566,0.307658837
BHR,2005,459.4177102,0.512561138,0.312847034
BHR,2006,775.2125431,0.494080093,0.321572416
BHR,2007,1095.396222,0.485605836,0.326478461
BHR,2008,1497.877011,0.466294811,0.333775554
BHS,1990,61.5058844,0.503011452,0.398643762
BHS,1991,62.83196866,0.513360836,0.38972774
BHS,1992,64.40033171,0.497287186,0.39494219
BHS,1993,65.90559597,0.518062075,0.377649826
BHS,1994,72.59429691,0.499887984,0.391946395
BHS,1995,81.59793888,0.491544224,0.392703608
BHS,1996,92.9421129,0.503932959,0.38042997
BHS,1997,102.188254,0.544716137,0.351205466
BHS,1998,124.2678434,0.582469488,0.32545297
BHS,1999,143.1427707,0.596226016,0.313486853
BHS,2000,167.095566,0.575896877,0.320287645
BHS,2001,151.3385955,0.621854682,0.294753154
BHS,2002,157.2270685,0.631444288,0.287197147
BHS,2003,147.0076604,0.614845389,0.296235412
BHS,2004,149.8428119,0.586686292,0.309416308
BHS,2005,162.8320688,0.57399627,0.316164019
BHS,2006,170.0381218,0.555802355,0.32471245
BHS,2007,173.7767907,0.533448215,0.33559572
BHS,2008,169.347718,0.524526368,0.339443058
BIH,1990,316.535553,0.726830417,0.179603031
BIH,1991,251.2829517,0.693069901,0.196645582
BIH,1992,198.1663204,0.651310342,0.218796065
BIH,1993,153.859786,0.62433266,0.234697387
BIH,1994,119.078639,0.545540059,0.271046534
BIH,1995,94.78899152,0.428765529,0.31241755
BIH,1996,129.1556455,0.408160414,0.318317595
BIH,1997,167.2600984,0.419450453,0.316359864
BIH,1998,187.5707826,0.476550351,0.296186561
BIH,1999,206.938464,0.491497433,0.289027688
