country,t,outp
EGY,2008,13267.16548
ERI,1990,52.70941376
ERI,1991,58.8932059
ERI,1992,61.0535873
ERI,1993,63.27907736
ERI,1994,79.0042137
ERI,1995,80.4011231
ERI,1996,88.71112874
ERI,1997,84.04393957
ERI,1998,83.99619681
ERI,1999,77.90381037
ERI,2000,66.20252074
ERI,2001,73.54172686
ERI,2002,73.36673298
ERI,2003,93.50249485
ERI,2004,122.1061757
ERI,2005,120.4254296
ERI,2006,134.6980214
ERI,2007,144.2199791
ERI,2008,150.2395099
ESP,1990,38665.30771
ESP,1991,41185.14912
ESP,1992,44814.97853
ESP,1993,37714.58238
ESP,1994,39626.28285
ESP,1995,51547.57558
ESP,1996,52854.16048
ESP,1997,52365.66266
ESP,1998,55577.29062
ESP,1999,56757.23498
ESP,2000,57988.51005
ESP,2001,63095.70244
ESP,2002,68191.73349
ESP,2003,94123.55215
ESP,2004,112378.9314
ESP,2005,123261.631
ESP,2006,135381.2529
ESP,2007,148255.4018
ESP,2008,155481.8818
EST,1990,1348.377137
EST,1991,1150.851992
EST,1992,943.1127529
EST,1993,949.8538779
EST,1994,982.0194479
EST,1995,1061.926515
EST,1996,1125.936128
EST,1997,1195.071094
EST,1998,1481.60328
EST,1999,1508.421242
EST,2000,1492.115343
EST,2001,1654.438931
EST,2002,1918.755896
EST,2003,2562.674406
EST,2004,3162.841037
EST,2005,3642.711148
EST,2006,4431.031553
EST,2007,5755.136376
EST,2008,6316.336218
