country,t,gross_output
BRB,1996,4799.619491
BRB,1997,5033.631741
BRB,1998,5561.416129
BRB,1999,5857.845575
BRB,2000,6017.209844
BRB,2001,6085.301327
BRB,2002,6110.339716
BRB,2003,6451.289739
BRB,2004,7201.137673
BRB,2005,8084.050388
BRB,2006,8681.370628
BRB,2007,9345.003878
BRB,2008,9482.259068
BRB,2009,9394.5982
BRB,2010,9321.496303
BRB,2011,9726.034014
BRB,2012,9856.798886
BRB,2013,9981.068359
BRB,2014,10201.61044
BRB,2015,9970.514279
BRN,1990,7641.966443
BRN,1991,8142.528554
BRN,1992,9364.713054
BRN,1993,9698.803011
BRN,1994,9790.206254
BRN,1995,21459.63774
BRN,1996,23194.45492
BRN,1997,23312.35029
BRN,1998,18284.08825
BRN,1999,20675.04321
BRN,2000,26372.54681
BRN,2001,24996.11237
BRN,2002,25818.08136
BRN,2003,29032.52674
BRN,2004,34679.2428
BRN,2005,41252.67051
BRN,2006,49034.18586
BRN,2007,53197.40246
BRN,2008,62348.66768
BRN,2009,47811.65747
BRN,2010,55518.84438
BRN,2011,72307.83557
BRN,2012,74516.2003
BRN,2013,71256.04015
BRN,2014,69880.98032
BRN,2015,61928.29041
BRN,2016,22383.66864
BRN,2017,24271.52514
BRN,2018,26997.95867
BRN,2019,27190.99596
BRN,2020,24261.19313
BRU,2000,10556.73766
BRU,2007,20405.72574
BRU,2008,24145.60697
BRU,2009,18810.85557
BRU,2010,23328.84816
BRU,2011,31396.09366
BRU,2012,32729.66869
BRU,2013,31573.80029
BRU,2014,29388.73077
BRU,2015,22743.54381
BRU,2016,19786.85485
BRU,2017,21143.40793
BRU,2018,23724.50098
BRU,2019,23497.96791
BRU,2020,21280.86696
BRU,2021,23638.88503
BTN,1990,534.6067061
BTN,1991,458.8050061
BTN,1992,466.1909576
BTN,1993,438.5340119
BTN,1994,459.1556691
BTN,1995,509.4467809
BTN,1996,537.0424997
BTN,1997,637.4675174
BTN,1998,649.7939685
BTN,1999,722.2180825
BTN,2000,758.1831022
BTN,2001,825.4587735
BTN,2002,941.0631561
BTN,2003,1146.805622
BTN,2004,1382.390497
BTN,2005,1551.163752
BTN,2006,1746.197895
BTN,2007,2289.131161
BTN,2008,2433.110226
BTN,2009,2450.67588
BTN,2010,3206.58426
BTN,2011,3639.646913
BTN,2012,3756.040087
BTN,2013,3780.98615
BTN,2014,3955.340323
BTN,2015,3818.573532
BWA,1990,5806.810426
BWA,1991,6013.205419
BWA,1992,6435.244204
BWA,1993,6441.074815
BWA,1994,6780.644135
BWA,1995,7627.724403
BWA,1996,7739.535764
BWA,1997,8229.154634
BWA,1998,8508.252812
BWA,1999,9046.860151
BWA,2000,9187.435047
BWA,2001,8758.668769
BWA,2002,8858.319802
BWA,2003,12174.97883
BWA,2004,15156.77049
BWA,2005,15642.53245
BWA,2006,16116.07905
BWA,2007,18045.23672
BWA,2008,18923.81035
BWA,2009,18769.44487
BWA,2010,23097.99814
BWA,2011,27468.59828
BWA,2012,27171.75909
BWA,2013,28184.24385
BWA,2014,29125.73496
BWA,2015,28501.84956
CAF,1990,2842.296303
CAF,1991,2718.403023
CAF,1992,2790.463774
CAF,1993,2498.754546
CAF,1994,1656.206956
CAF,1995,2157.934304
CAF,1996,1976.000213
CAF,1997,1794.348781
