country,t,gross output
CAF,1990,403.652503692
CAF,1991,376.678555028
CAF,1992,378.417138153
CAF,1993,330.550875432
CAF,1994,217.78607373
CAF,1995,277.57914899900004
CAF,1996,246.203209607
CAF,1997,220.71264992
CAF,1998,222.26943325
CAF,1999,223.308875839
CAF,2000,203.191576577
CAF,2001,209.949419751
CAF,2002,221.55405328400002
CAF,2003,264.453869021
CAF,2004,310.235011529
CAF,2005,332.36467368800004
CAF,2006,386.938453693
CAF,2007,461.06090566299997
CAF,2008,542.986855415
CAF,2009,545.1667104200001
CAF,2010,559.65363951
CAF,2011,634.78651661
CAF,2012,664.52313552
CAF,2013,505.67377242
CAF,2014,518.8070940499999
CAF,2015,513.490666819
CAN,1990,179058.32906299998
CAN,1991,182347.73251300002
CAN,1992,181936.797182
CAN,1993,181968.025544
CAN,1994,185391.41646500002
CAN,1995,189591.028881
CAN,1996,212207.27436500002
CAN,1997,225053.918016
CAN,1998,223168.482409
CAN,1999,237654.258361
CAN,2000,256042.76579099998
CAN,2001,262567.90983400005
CAN,2002,272584.485163
CAN,2003,315670.14846399997
CAN,2004,371808.163318
CAN,2005,422296.85460900003
CAN,2006,479436.54653
CAN,2007,529736.87155
CAN,2008,563304.60263
CAN,2009,476493.16024
CAN,2010,564886.38295
CAN,2011,630302.66893
CAN,2012,638256.34709
CAN,2013,641300.75053
CAN,2014,645367.3694
CAN,2015,626688.07312
CHE,1990,32838.911181999996
CHE,1991,34421.0980559
CHE,1992,36859.203997100005
CHE,1993,36833.618096700004
CHE,1994,41644.8887243
CHE,1995,49844.6840043
CHE,1996,49335.4445935
CHE,1997,46330.1916977
CHE,1998,46638.2053731
CHE,1999,47585.5371307
CHE,2000,48649.2169862
CHE,2001,48528.2722783
CHE,2002,51444.745982
CHE,2003,59684.966793
CHE,2004,70020.376496
CHE,2005,75548.40995
CHE,2006,84182.229198
CHE,2007,96775.160005
CHE,2008,111419.74243700001
CHE,2009,100249.007243
CHE,2010,114621.143542
CHE,2011,136640.145575
CHE,2012,137387.110711
CHE,2013,143122.739717
CHE,2014,143596.67431600002
CHE,2015,138840.975874
CHL,1990,9450.114913
CHL,1991,10715.764495899999
CHL,1992,13058.740727600001
CHL,1993,13773.947532099999
CHL,1994,15850.6077659
CHL,1995,20184.358285399998
CHL,1996,21226.828424
CHL,1997,24192.1133998
CHL,1998,23354.0141642
CHL,1999,21916.0171051
CHL,2000,22682.7970155
CHL,2001,21193.832645299997
CHL,2002,20780.873547
CHL,2003,23153.7883938
CHL,2004,30359.4053818
CHL,2005,37295.7622369
CHL,2006,46752.632629700005
CHL,2007,52737.625089299996
CHL,2008,55912.1201265
CHL,2009,51392.9289822
CHL,2010,64638.939865
CHL,2011,75272.37410399999
CHL,2012,76770.803372
CHL,2013,79904.759086
CHL,2014,80288.33468
CHL,2015,78420.836967
CHN,1990,180432.498746
CHN,1991,198200.517352
CHN,1992,237045.954325
CHN,1993,285226.69993
CHN,1994,261396.64861600002
CHN,1995,337135.74278
CHN,1996,440521.99848
CHN,1997,485217.14327
CHN,1998,516091.1163
CHN,1999,547677.46842
CHN,2000,598396.95046
CHN,2001,660578.44221
CHN,2002,711720.12374
CHN,2003,806526.7269
CHN,2004,956719.82709
CHN,2005,1207854.70361
CHN,2006,1450345.44347
CHN,2007,1804241.62897
CHN,2008,2328726.53024
CHN,2009,2556277.27588
CHN,2010,3014761.7165
CHN,2011,3672983.7236
CHN,2012,3750408.8542
CHN,2013,4203206.7601
CHN,2014,4298158.9141
CHN,2015,4268233.7249
CIV,1990,3216.94297282
CIV,1991,3060.16447733
CIV,1992,3290.38312061
CIV,1993,2960.88880529
CIV,1994,2351.64122078
CIV,1995,3065.47016299
CIV,1996,3410.04117034
CIV,1997,3257.42234796
CIV,1998,3480.35079974
CIV,1999,3260.37896227
CIV,2000,2970.87163599
CIV,2001,3132.94152643
CIV,2002,3488.3876234
CIV,2003,4311.044640329999
CIV,2004,4937.03557069
CIV,2005,5264.82643806
CIV,2006,5684.647460689999
CIV,2007,6495.48994222
CIV,2008,7670.70783537
CIV,2009,7282.91420822
CIV,2010,7428.75833075
CIV,2011,7947.85253735
CIV,2012,8023.03447003
CIV,2013,8987.39054522
CIV,2014,9152.61540981
CIV,2015,8831.65713753
CMR,1990,2651.28880009
CMR,1991,2511.61981429
CMR,1992,2648.08638073
CMR,1993,2753.58214252
CMR,1994,1695.49173069
CMR,1995,2106.39236733
CMR,1996,2233.09272434
CMR,1997,2105.7004381300003
CMR,1998,2240.74700204
CMR,1999,2285.56822728
CMR,2000,2134.6732190000002
CMR,2001,2238.50127459
CMR,2002,2470.17621877
CMR,2003,3150.59108888
CMR,2004,3725.52449831
CMR,2005,3979.39516354
CMR,2006,4488.904198460001
CMR,2007,5240.96532893
CMR,2008,6077.90540222
CMR,2009,5691.76350911
CMR,2010,5895.64144665
CMR,2011,6640.91298052
CMR,2012,6766.232234229999
CMR,2013,7574.62333777
CMR,2014,7736.14433033
CMR,2015,7565.86086377
COD,1990,3972.56126121
COD,1991,3999.40519621
COD,1992,3642.2489327900003
COD,1993,4752.0917076000005
COD,1994,2600.27305248
COD,1995,2526.38066547
COD,1996,2486.0191343300003
COD,1997,2740.70663209
COD,1998,3003.01551307
COD,1999,2645.61501279
COD,2000,2568.35832081
COD,2001,2442.8977507199997
COD,2002,2546.68276102
COD,2003,2574.12676392
COD,2004,3006.76570811
COD,2005,3402.85145612
COD,2006,4123.08084536
COD,2007,4745.14364769
COD,2008,5737.22777394
COD,2009,5339.10945887
COD,2010,6170.64325518
COD,2011,7399.56009653
COD,2012,7752.57801373
COD,2013,8702.965976
COD,2014,8927.7662824
